Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20243045,3020,veltem-beisem,house,for-sale,595000595000,764,232,3,1,No,None,None,None,None,None,None,118,B,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/veltem-beisem/3020/20243045
20243038,1860,meise,house,for-sale,887933887933,820,214,4,2,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/meise/1860/20243038
20243037,1850,grimbergen,house,for-sale,732140732140,480,199,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/grimbergen/1850/20243037
20243036,1547,bever,house,for-sale,588587588587,584,188,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/bever/1547/20243036
20243035,1770,liedekerke,house,for-sale,550449550449,1100,166,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/liedekerke/1770/20243035
20243034,8840,oostnieuwkerke,house,for-sale,617709617709,2833,165,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/oostnieuwkerke/8840/20243034
20243033,9310,herdersem,house,for-sale,503261503261,370,175,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/herdersem/9310/20243033
20243032,8430,middelkerke,house,for-sale,734631734631,844,206,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8430/20243032
20243031,9404,aspelare,house,for-sale,608205608205,1000,270,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/aspelare/9404/20243031
20243030,8430,middelkerke,house,for-sale,696772696772,1132,195,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8430/20243030
20243029,9450,haaltert,house,for-sale,571911571911,936,162,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/haaltert/9450/20243029
20243028,9052,zwijnaarde,house,for-sale,785963785963,482,216,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/zwijnaarde/9052/20243028
11362878,8800,roeselare,apartment,for-sale,254900254900,None,118,3,1,No,None,Good,None,5,3,1984,191,B,Non flood zone,None,None,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/roeselare/8800/11362878
20233305,9940,evergem,house,for-sale,259000259000,2597,None,3,1,None,Semi equipped,To renovate,4,None,None,1959,None,E,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/evergem/9940/20233305
20133198,8380,zeebrugge,apartment,for-sale,269000269000,None,77,2,1,No,Installed,Good,2,5,4,2001,182,B,Non flood zone,None,None,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/zeebrugge/8380/20133198
10715623,9700,oudenaarde,apartment,for-sale,269000269000,None,66,1,1,No,None,Good,4,5,2,2015,102,B,Non flood zone,None,9,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/10715623
11388172,1400,nivelles,apartment,for-sale,275000275000,None,110,3,1,None,Installed,As new,2,4,2,1989,118,B,None,None,10,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/11388172
11488899,2610,wilrijk,ground-floor,for-sale,274000274000,None,87,2,1,None,USA installed,None,None,3,None,1969,262,C,Non flood zone,50,10,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/ground-floor/for-sale/wilrijk/2610/11488899
11032761,9700,oudenaarde,apartment,for-sale,269000269000,None,66,1,1,No,None,Good,4,5,2,2015,102,B,Non flood zone,None,9,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/oudenaarde/9700/11032761
20024243,8670,oostduinkerke,service-flat,for-sale,275000275000,None,63,1,1,No,None,Good,None,6,4,2019,83,A,Non flood zone,None,None,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/service-flat/for-sale/oostduinkerke/8670/20024243
20153987,9450,haaltert,apartment,for-sale,275000275000,None,108,2,1,None,None,Good,None,2,1,2004,196,B,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/haaltert/9450/20153987
20149592,8830,hooglede,apartment,for-sale,279000279000,None,107,2,1,None,Hyper equipped,Good,None,2,1,None,None,A,Non flood zone,None,7,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/hooglede/8830/20149592
11392113,8400,oostende,apartment,for-sale,289000289000,None,86,2,1,No,None,Good,None,6,5,1977,191,B,Non flood zone,None,None,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/11392113
20004254,1050,ixelles,apartment,for-sale,290000290000,None,70,1,1,No,Not installed,To renovate,2,12,5,1962,225,E,Non flood zone,None,9,No,Yes,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20004254
20143410,9300,aalst,apartment,for-sale,289000289000,None,111,3,1,None,None,Good,None,None,None,2010,97,A,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/20143410
20092999,2060,antwerpen,apartment,for-sale,295000295000,None,113,2,1,None,Hyper equipped,Good,3,None,None,None,192,B,Possible flood zone,None,None,None,Yes,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20092999
10762128,9000,gent,apartment,for-sale,290000290000,None,78,2,1,No,Installed,Good,None,3,3,1960,321,D,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10762128
20011388,1930,zaventem,duplex,for-sale,299000299000,None,92,1,1,No,Hyper equipped,As new,None,3,3,2015,125,B,Non flood zone,None,None,No,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/duplex/for-sale/zaventem/1930/20011388
11480891,9800,deinze,apartment,for-sale,305000305000,None,90,2,1,None,None,Good,None,None,3,2013,95,A,Non flood zone,None,None,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/11480891
11078613,6700,arlon,apartment,for-sale,310000310000,None,85,2,1,None,Not installed,Good,2,None,1,2023,76,A,None,None,21,None,None,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/11078613
11417282,2890,oppuurs,apartment,for-sale,319000319000,None,95,2,1,None,Hyper equipped,None,2,2,None,2020,None,A+,Non flood zone,70,17,None,None,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/oppuurs/2890/11417282
20059130,8420,wenduine,apartment,for-sale,299000299000,None,85,2,1,No,Installed,Good,None,3,None,1966,329,D,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/wenduine/8420/20059130
20231169,1650,beersel,house,for-sale,320000320000,482,106,3,1,No,Installed,To be done up,3,None,None,1925,1147,F,Non flood zone,None,None,No,No,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/20231169
11481614,2870,puurs-sint-amands,apartment,for-sale,320000320000,None,98,2,1,None,Installed,Good,2,3,3,2005,185,B,None,None,36,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/puurs-sint-amands/2870/11481614
11273293,8434,westende,apartment,for-sale,320000320000,None,87,2,1,Yes,None,Good,None,5,3,1999,175,B,Non flood zone,None,None,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/westende/8434/11273293
11034290,6700,arlon,apartment,for-sale,337000337000,None,107,2,1,None,Installed,Good,2,None,None,2008,170,B,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/11034290
20046857,2830,willebroek,apartment,for-sale,339000339000,None,91,2,1,None,None,None,None,None,None,2019,84,A,Non flood zone,17,18,None,Yes,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/willebroek/2830/20046857
20114008,4020,liege,loft,for-sale,365000365000,None,114,2,1,No,Installed,Just renovated,2,1,1,2023,143,B,Non flood zone,42,15,No,No,Yes,Not a public sale,None,https://www.immoweb.be/en/classified/loft/for-sale/liege/4020/20114008
20146269,9400,ninove,apartment,for-sale,379000379000,None,199,4,2,None,None,Good,None,None,None,1995,204,C,Non flood zone,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/apartment/for-sale/ninove/9400/20146269
20243025,9051,afsnee,house,for-sale,919034919034,1445,242,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/afsnee/9051/20243025
20243027,1840,londerzeel,house,for-sale,625562625562,563,199,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/londerzeel/1840/20243027
20243023,9250,waasmunster,house,for-sale,643986643986,525,209,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/waasmunster/9250/20243023
20243024,1790,affligem,house,for-sale,839268839268,937,213,3,2,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/20243024
20243022,9040,sint-amandsberg,house,for-sale,873508873508,855,206,3,2,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/sint-amandsberg/9040/20243022
20243021,9770,kruisem,house,for-sale,924836924836,1951,170,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/kruisem/9770/20243021
20243020,8670,koksijde,house,for-sale,761290761290,744,172,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/koksijde/8670/20243020
20243019,8670,oostduinkerke,house,for-sale,758198758198,645,207,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/oostduinkerke/8670/20243019
20243018,9990,maldegem,house,for-sale,767363767363,1124,188,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20243018
20243016,9050,gentbrugge,house,for-sale,541458541458,264,130,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/gentbrugge/9050/20243016
20243017,8700,aarsele,house,for-sale,625944625944,776,186,4,2,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/aarsele/8700/20243017
20243015,8700,aarsele,house,for-sale,745438745438,800,196,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/aarsele/8700/20243015
20243010,8610,kortemark,house,for-sale,604750604750,793,184,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/kortemark/8610/20243010
20243014,8851,koolskamp,house,for-sale,753947753947,919,244,4,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/koolskamp/8851/20243014
20243011,8972,roesbrugge-haringe,house,for-sale,565374565374,1181,213,3,2,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/roesbrugge-haringe/8972/20243011
20243012,9680,maarkedal,house,for-sale,815831815831,1518,244,4,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/maarkedal/9680/20243012
20243013,1785,merchtem,house,for-sale,711608711608,346,242,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/merchtem/1785/20243013
20243009,9140,temse,house,for-sale,547936547936,170,240,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/temse/9140/20243009
20243008,1740,ternat,house,for-sale,569115569115,431,176,4,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/ternat/1740/20243008
20243040,1730,asse,house,for-sale,743004743004,788,213,3,2,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/asse/1730/20243040
20243006,9700,oudenaarde,house,for-sale,557764557764,548,184,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/20243006
20243007,8610,kortemark,house,for-sale,698673698673,852,257,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/kortemark/8610/20243007
20243004,9310,moorsel,house,for-sale,520451520451,428,175,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/moorsel/9310/20243004
20243003,1755,gooik,house,for-sale,708347708347,1158,207,3,1,None,Hyper equipped,Good,None,None,None,None,None,Not specified,None,None,None,None,None,None,Not a public sale,None,https://www.immoweb.be/en/classified/house/for-sale/gooik/1755/20243003
