Property ID,Postal Code,Locality,Property Type,Sale Type,Price (€),Surface of the plot (m²),Living Area (m²),Bedrooms,Bathrooms,Furnished,Kitchen Type,Building condition,number of Frontages,number of Floors,Floor,Construction Year,Primary Energy Consumption (kWh/m²),Energy class,Flood Zone Type,Garden Surface,Terrace Surface,Swimming Pool,Elevator,Basement,Public Sale,Price Label,URL
20243482,4280,Hannut,apartment,for-sale,234500234500,,82.0,2.0,,,,,3.0,2.0,1.0,,,Not specified,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/hannut/4280/20243482
11367633,8900,Brielen,town-house,for-sale,130000130000159000,521.0,140.0,3.0,1.0,,,To renovate,2.0,,,1968.0,557.0,F,Non flood zone,395.0,,,,,Not a public sale,,https://www.immoweb.be/en/classified/town-house/for-sale/brielen/8900/11367633
20243466,9890,Gavere,house,for-sale,483723483723,300.0,234.0,4.0,1.0,,,Good,3.0,3.0,,2022.0,,Not specified,Non flood zone,,,,No,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/gavere/9890/20243466
20243465,7500,Tournai,apartment,for-sale,219000219000,,90.0,2.0,1.0,,Hyper equipped,As new,,3.0,1.0,2012.0,138.0,B,,,,,Yes,Yes,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/tournai/7500/20243465
20243464,1540,Herne,exceptional-property,for-sale,850000850000,,326.0,3.0,2.0,,,As new,4.0,,,,282.0,C,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/herne/1540/20243464
20243455,8420,Wenduine,apartment,for-sale,205000205000,,69.0,2.0,1.0,,Installed,To be done up,,2.0,,1969.0,298.0,C,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/apartment/for-sale/wenduine/8420/20243455
20243451,1200,Woluwe-Saint-Lambert,house,for-sale,11450001145000,258.0,245.0,4.0,2.0,No,Installed,,2.0,,,1949.0,230.0,E,,,60.0,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-lambert/1200/20243451
20243454,9000,Gent,house,for-sale,450000450000,160.0,240.0,6.0,3.0,,,Good,2.0,2.0,,1890.0,,Not specified,,70.0,,,,12,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20243454
20243449,1600,Sint-Pieters-Leeuw,mixed-use-building,for-sale,540000540000,605.0,255.0,3.0,,,,Good,4.0,,,1990.0,272.0,C,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/sint-pieters-leeuw/1600/20243449
20243450,1600,Sint-Pieters-Leeuw,villa,for-sale,540000540000,605.0,255.0,3.0,,,,Good,4.0,,,1990.0,272.0,C,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/villa/for-sale/sint-pieters-leeuw/1600/20243450
20243448,1601,Sint-Pieters-Leeuw,house,for-sale,349000349000,82.0,243.0,6.0,2.0,,,,4.0,,,,342.0,D,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw/1601/20243448
20243452,1600,Sint-Pieters-Leeuw,house,for-sale,349000349000,82.0,243.0,6.0,2.0,,,,4.0,,,,342.0,D,,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw/1600/20243452
11426024,8560,Wevelgem,house,for-sale,200000200000225000,345.0,203.0,3.0,1.0,,,Good,,1.0,,,576.0,F,Non flood zone,,,,,,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/wevelgem/8560/11426024
20262769,4000,Liege,penthouse,for-sale,860000860000,,197.0,3.0,2.0,,,As new,2.0,,5.0,2024.0,,A,,,170.0,,Yes,25,Not a public sale,,https://www.immoweb.be/en/classified/penthouse/for-sale/liege/4000/20262769
20205544,8870,Izegem,house,for-sale,149000149000,149.0,165.0,4.0,1.0,,,To renovate,,2.0,,,1249.0,F,Non flood zone,,,,,Yes,Not a public sale,,https://www.immoweb.be/en/classified/house/for-sale/izegem/8870/20205544
